id_municipio,fold,alunos_2023
1100015,0,227
1100023,1,1222
1100031,1,76
1100049,2,813
1100056,2,222
1100064,2,147
1100072,0,119
1100080,0,214
1100098,0,435
1100106,0,506
1100114,0,658
1100122,2,1496
1100130,0,432
1100148,1,216
1100155,1,384
1100189,2,440
1100205,2,5870
1100254,1,197
1100262,2,49
1100288,2,676
1100296,2,92
1100304,2,1054
1100320,0,226
1100338,2,384
1100346,0,148
1100379,0,172
1100403,1,133
1100452,2,433
1100502,0,103
1100601,0,75
1100700,2,150
1100809,1,327
1100908,1,58
1100924,1,162
1100940,2,259
1101005,0,126
1101104,1,144
1101203,1,89
1101302,2,152
1101401,0,220
1101435,2,81
1101450,2,55
1101468,0,37
1101476,0,51
1101484,0,76
1101492,0,247
1101500,2,177
1101559,2,68
1101609,0,95
1101708,0,139
1101757,0,110
1101807,2,74
1300029,1,221
1300060,0,195
1300086,2,107
1300102,2,261
1300144,0,216
1300201,2,212
1300300,0,631
1300409,0,234
1300508,0,399
1300607,2,547
1300631,0,243
1300680,1,198
1300706,0,355
1300805,1,384
1300839,2,123
1300904,2,171
1301001,0,365
1301100,0,194
1301159,1,145
1301209,0,1048
1301308,1,336
1301407,2,440
1301506,0,233
1301605,1,380
1301654,0,181
1301704,2,729
1301803,2,221
1301852,0,725
1301902,1,1261
1301951,2,145
1302009,1,137
1302108,0,162
1302207,1,162
1302306,2,347
1302405,2,474
1302504,0,1351
1302553,1,180
1302603,1,23993
1302702,2,487
1302801,2,157
1302900,2,590
1303007,2,172
1303106,1,319
1303205,0,266
1303304,1,254
1303403,1,1332
1303502,2,204
1303536,0,506
1303569,1,331
1303601,1,127
1303700,1,575
1303809,0,503
1303908,0,645
1303957,1,157
1304005,1,121
1304062,0,1244
1304104,0,270
1304203,1,1129
1304237,0,286
1304260,1,199
1304302,1,204
1304401,2,226
1500107,2,1222
1500131,2,95
1500206,2,463
1500305,2,447
1500347,1,191
1500404,1,740
1500503,1,401
1500602,2,1442
1500701,1,316
1500800,0,4287
1500859,2,401
1500909,0,548
1500958,2,193
1501006,0,136
1501105,2,244
1501204,1,337
1501253,1,36
1501303,2,1336
1501402,0,9459
1501451,2,233
1501501,1,928
1501576,2,156
1501600,1,104
1501709,1,1289
1501725,0,187
1501758,1,104
1501782,2,548
1501808,2,805
1501907,2,216
1501956,1,150
1502004,2,234
1502103,2,1154
1502152,1,1186
1502202,0,756
1502301,1,473
1502400,1,1771
1502509,2,142
1502608,2,72
1502707,0,414
1502756,0,250
1502764,2,178
1502772,0,297
1502806,1,597
1502855,0,178
1502905,0,246
1502939,2,497
1502954,2,293
1503002,0,112
1503044,2,250
1503077,2,291
1503093,0,303
1503101,0,446
1503200,0,388
1503309,1,532
1503408,2,135
1503457,2,335
1503507,2,155
1503606,0,1966
1503705,1,506
1503754,2,213
1503804,1,521
1503903,2,764
1504000,2,301
1504059,2,296
1504109,0,56
1504208,1,3186
1504307,2,187
1504406,1,216
1504422,1,1519
1504455,0,334
1504505,1,366
1504604,1,300
1504703,1,752
1504752,2,189
1504802,0,750
1504901,0,532
1504950,0,209
1504976,0,200
1505007,2,137
1505031,2,457
1505064,0,776
1505106,1,361
1505205,0,507
1505304,2,687
1505403,0,184
1505437,2,416
1505486,0,444
1505494,1,93
1505502,1,1453
1505536,0,3161
1505551,0,75
1505601,2,67
1505635,2,138
1505650,1,200
1505700,2,235
1505809,2,610
1505908,2,470
1506005,1,510
1506104,2,140
1506112,1,148
1506138,0,1184
1506161,2,223
1506187,0,414
1506195,2,357
1506203,1,538
1506302,0,263
1506351,1,249
1506401,2,101
1506500,2,668
1506559,2,146
1506583,0,251
1506609,0,173
1506708,0,527
1506807,1,4298
1506906,1,47
1507003,0,287
1507102,1,137
1507151,0,214
1507201,1,175
1507300,2,751
1507409,0,103
1507458,2,381
1507466,0,27
1507474,0,183
1507508,2,196
1507607,2,596
1507706,0,364
1507755,2,94
1507805,0,323
1507904,2,431
1507953,0,1055
1507961,2,93
1507979,1,325
1508001,2,1130
1508035,2,176
1508050,2,200
1508084,2,504
1508100,0,1244
1508126,2,357
1508159,0,466
1508209,0,416
1508308,1,681
1508357,1,279
1508407,1,599
1600055,0,68
1600105,0,132
1600154,2,178
1600204,2,217
1600212,0,93
1600238,2,174
1600253,2,86
1600279,2,582
1600303,1,6193
1600402,1,402
1600501,0,395
1600535,1,315
1600550,1,91
1600600,0,1672
1600709,1,247
1600808,1,230
1700251,0,29
1700301,1,69
1700350,2,27
1700400,1,86
1700707,2,115
1701002,0,157
1701051,1,37
1701101,0,73
1701309,2,68
1701903,2,92
1702000,2,84
1702109,0,2019
1702158,0,68
1702208,2,307
1702307,2,82
1702406,0,65
1702554,2,202
1702703,2,28
1702901,2,73
1703008,2,98
1703057,1,37
1703073,2,76
1703107,2,58
1703206,0,50
1703305,2,31
1703602,2,34
1703701,2,63
1703800,2,87
1703826,1,29
1703842,1,148
1703867,2,51
1703883,1,31
1703891,0,39
1703909,0,84
1704105,2,30
1704600,2,16
1705102,1,37
1705508,1,454
1705557,2,45
1705607,0,29
1706001,1,77
1706100,1,49
1706258,0,31
1706506,1,94
1707009,1,262
1707108,1,90
1707207,0,57
1707306,2,51
1707405,2,102
1707553,0,45
1707652,1,73
1707702,2,83
1708205,0,138
1708254,0,47
1708304,2,43
1709005,1,155
1709302,2,182
1709500,2,650
1709807,1,11
1710508,2,56
1710706,2,61
1710904,0,49
1711100,2,39
1711506,2,39
1711803,2,36
1711902,2,148
1711951,1,62
1712009,0,49
1712157,1,13
1712405,2,28
1712454,0,40
1712504,1,88
1712702,2,29
1712801,1,37
1713205,2,187
1713304,2,162
1713601,1,59
1713700,0,34
1713809,1,48
1713957,0,34
1714203,2,124
1714302,0,51
1714880,2,184
1715002,0,29
1715101,1,46
1715150,0,24
1715259,0,30
1715507,0,16
1715705,0,54
1715754,0,97
1716109,1,602
1716208,0,130
1716307,2,43
1716505,1,170
1716604,2,96
1716653,2,49
1716703,0,78
1717008,2,50
1717206,2,36
1717503,2,72
1717800,0,21
1717909,1,95
1718006,0,33
1718204,1,769
1718303,0,53
1718402,2,42
1718451,1,29
1718501,1,44
1718550,2,52
1718659,0,40
1718709,2,29
1718758,0,70
1718808,1,66
1718840,2,40
1718865,1,54
1718881,2,49
1718899,1,22
1718907,2,65
1719004,1,45
1720002,0,20
1720101,1,84
1720150,1,30
1720200,1,136
1720259,2,38
1720309,2,45
1720499,2,61
1720655,0,75
1720804,1,155
1720853,1,28
1720903,0,148
1720937,2,25
1720978,1,34
1721000,0,3038
1721109,0,60
1721208,1,239
1721257,0,11
1721307,2,16
1722081,0,131
1722107,1,112
2100055,0,1350
2100105,2,69
2100154,1,162
2100204,1,147
2100303,2,289
2100402,2,70
2100436,2,217
2100477,0,380
2100501,1,75
2100550,0,88
2100600,0,319
2100709,1,184
2100808,1,179
2100832,2,172
2100873,0,125
2100907,0,340
2100956,0,181
2101004,2,356
2101103,1,135
2101202,0,1033
2101251,0,178
2101301,1,159
2101350,1,36
2101400,2,1242
2101509,2,136
2101608,1,845
2101707,2,745
2101731,1,129
2101772,1,174
2101806,2,91
