variant,name,max_iter,max_leaf_nodes,fold,training_rows,validation_rows,fit_seconds,predict_seconds,roc_auc_risk,average_precision_risk,brier_risk,recall_risk,precision_risk,f1_risk,balanced_accuracy,accuracy,risk_prevalence,selected
rede_uf,leaves7_iter100,100,7,0,100000,50000,0.2795560439990368,0.16865000300094835,0.6265095155495702,0.5264029894416788,0.23094932195834916,0.2615082783041439,0.5725510738606601,0.35903163288769174,0.5606558641194281,0.60974,0.41796,False
rede_uf,leaves7_iter100,100,7,1,100000,50000,0.25533976199949393,0.17245344700131682,0.6383937401333677,0.5406738716102837,0.23039653605919186,0.35904779791529723,0.5631904551480336,0.4385250602133272,0.5762035728479699,0.60836,0.42596,False
rede_uf,leaves7_iter100,100,7,2,100000,50000,0.2532532479999645,0.16727847500078497,0.6486662560739995,0.5390711019802106,0.22507097730205913,0.3290154164409201,0.5897933957266467,0.42239716715672326,0.5862843186524902,0.63462,0.40606,False
rede_uf,leaves7_iter200,200,7,0,100000,50000,0.4390510709999944,0.3049411659994803,0.6264978724923139,0.5264136487964386,0.23095734224253722,0.2615082783041439,0.5725510738606601,0.35903163288769174,0.5606558641194281,0.60974,0.41796,False
rede_uf,leaves7_iter200,200,7,1,100000,50000,0.4388918549993832,0.3137531649990706,0.6379667483923758,0.5404260663995446,0.23041626252442082,0.35904779791529723,0.5631904551480336,0.4385250602133272,0.5762035728479699,0.60836,0.42596,False
rede_uf,leaves7_iter200,200,7,2,100000,50000,0.4328530269995099,0.3067883500007156,0.6485172955315415,0.5388919178477086,0.2251096057533466,0.33955573068019507,0.5864239537257571,0.43008203624567204,0.5879177447892001,0.63458,0.40606,False
rede_uf,leaves15_iter100,100,15,0,100000,50000,0.35972451099951286,0.22225554100077716,0.6264943932225562,0.5264122807089382,0.23095132198022386,0.2743803234759307,0.5629847815414826,0.3689476562751343,0.5607177543432846,0.6077,0.41796,False
rede_uf,leaves15_iter100,100,15,1,100000,50000,0.3501974249993509,0.23196215000280063,0.6381048518823956,0.540545368654185,0.2303992778811774,0.35904779791529723,0.5631904551480336,0.4385250602133272,0.5762035728479699,0.60836,0.42596,False
rede_uf,leaves15_iter100,100,15,2,100000,50000,0.3596354750006867,0.2328074260003632,0.6487062668086985,0.5390619262011195,0.22506201493215536,0.33955573068019507,0.5864239537257571,0.43008203624567204,0.5879177447892001,0.63458,0.40606,False
rede_uf,leaves15_iter200,200,15,0,100000,50000,0.6487646069981565,0.4266577820017119,0.6264985795272836,0.5264139392463962,0.2309608992521916,0.2615082783041439,0.5725510738606601,0.35903163288769174,0.5606558641194281,0.60974,0.41796,False
rede_uf,leaves15_iter200,200,15,1,100000,50000,0.6612099079975451,0.4392735720030032,0.6380123270263685,0.5404674833895331,0.2304135375716501,0.35904779791529723,0.5631904551480336,0.4385250602133272,0.5762035728479699,0.60836,0.42596,False
rede_uf,leaves15_iter200,200,15,2,100000,50000,0.6504345089997514,0.4442982450018462,0.6485140281982901,0.538890731569268,0.2251165120200636,0.33246318278086984,0.5863956215793589,0.42434148488087003,0.5860719793084064,0.63372,0.40606,False
rede_uf,leaves31_iter100,100,31,0,100000,50000,0.44956845699925907,0.27179458599857753,0.6264902776213258,0.5264045323002137,0.2309888427740283,0.2743803234759307,0.5629847815414826,0.3689476562751343,0.5607177543432846,0.6077,0.41796,True
rede_uf,leaves31_iter100,100,31,1,100000,50000,0.44590056399829336,0.29965792700022575,0.6381336407557832,0.5406841320123634,0.23040104736530978,0.35904779791529723,0.5631904551480336,0.4385250602133272,0.5762035728479699,0.60836,0.42596,True
rede_uf,leaves31_iter100,100,31,2,100000,50000,0.4544187840001541,0.284083501999703,0.648729222727243,0.5390718538211806,0.22505836922297232,0.33955573068019507,0.5864239537257571,0.43008203624567204,0.5879177447892001,0.63458,0.40606,True
rede_uf,leaves31_iter200,200,31,0,100000,50000,0.8596343809986138,0.5397468709998066,0.6264985795272836,0.5264139392463962,0.2309596117766262,0.2615082783041439,0.5725510738606601,0.35903163288769174,0.5606558641194281,0.60974,0.41796,False
rede_uf,leaves31_iter200,200,31,1,100000,50000,0.8712877580001077,0.6023248670026078,0.6379732084464148,0.5403575369492916,0.23042394581016534,0.35904779791529723,0.5631904551480336,0.4385250602133272,0.5762035728479699,0.60836,0.42596,False
rede_uf,leaves31_iter200,200,31,2,100000,50000,0.8959001679977519,0.5668649979998008,0.6485129866321572,0.5388875842529972,0.2251177740496193,0.33246318278086984,0.5863956215793589,0.42434148488087003,0.5860719793084064,0.63372,0.40606,False
completa,leaves7_iter100,100,7,0,100000,50000,0.3211733349999122,0.15434223299962468,0.6362307514580097,0.54211909768097,0.2288035683172799,0.3034740166523112,0.5784385260853703,0.39809177076140856,0.5723266585220184,0.61644,0.41796,True
completa,leaves7_iter100,100,7,1,100000,50000,0.3234962960013945,0.15329579099852708,0.6428262099412934,0.5463932240582986,0.22904039901541892,0.424265189219645,0.5669469193123353,0.485336770866903,0.5918970709529345,0.61672,0.42596,True
completa,leaves7_iter100,100,7,2,100000,50000,0.31545308400018257,0.15017063499908545,0.6462124639240178,0.5433945532981624,0.22520454004674123,0.3118258385460277,0.5992995077622113,0.4102115527910066,0.5846430940381416,0.6359,0.40606,True
completa,leaves7_iter200,200,7,0,100000,50000,0.4813434740026423,0.2401899959986622,0.63638179632514,0.5416783123712491,0.228733265140986,0.2938558713752512,0.5849685654410364,0.39119633074276977,0.5720705375706577,0.61772,0.41796,False
completa,leaves7_iter200,200,7,1,100000,50000,0.48419841099894256,0.2456747930009442,0.643125665918042,0.5461636993062213,0.2290513722078024,0.40369987792280965,0.5631017093457332,0.4702600705554188,0.5856385251226479,0.61258,0.42596,False
completa,leaves7_iter200,200,7,2,100000,50000,0.48775244699936593,0.24713550899832626,0.6464664551328778,0.5431044216781911,0.22526946039062393,0.32349899029700047,0.5942278114539039,0.4189309860951652,0.5862368171002126,0.6356,0.40606,False
completa,leaves15_iter100,100,15,0,100000,50000,0.3748156399997242,0.1851385100017069,0.6346551782889305,0.539011679190688,0.22925777117511198,0.3157718441956168,0.5791136463361123,0.408695382900319,0.5754860870349261,0.6181,0.41796,False
completa,leaves15_iter100,100,15,1,100000,50000,0.38725085699843476,0.19602900199970463,0.6418300782785802,0.5462343431184176,0.22926756520491262,0.44548783923373086,0.5640233028177387,0.4977964323189927,0.5949827879884075,0.61712,0.42596,False
completa,leaves15_iter100,100,15,2,100000,50000,0.37843359600083204,0.18591230399761116,0.6448244932953666,0.5408383679308764,0.22556061987256196,0.3216765995173127,0.5934035980374341,0.41719633332268674,0.5854939888855042,0.63506,0.40606,False
completa,leaves15_iter200,200,15,0,100000,50000,0.5702173270001367,0.2854450539998652,0.6340215787664678,0.5386967007837752,0.2293330710411644,0.30151210642166715,0.5882188200149365,0.3986713065485606,0.5749708838066689,0.61984,0.41796,False
completa,leaves15_iter200,200,15,1,100000,50000,0.6069357710002805,0.3087459360031062,0.6403805576446899,0.5446670033057288,0.22967612757712494,0.44370363414405106,0.5603985056039851,0.49527004009328895,0.5927144747265444,0.61478,0.42596,False
completa,leaves15_iter200,200,15,2,100000,50000,0.5875091940033599,0.3044916729995748,0.6454538040699432,0.5396498458997996,0.22566776239683306,0.33541841107225534,0.5914538822303282,0.42807304271301505,0.5885092863523718,0.63606,0.40606,False
completa,leaves31_iter100,100,31,0,100000,50000,0.4496710570019786,0.21734132299752673,0.6335877766386951,0.5388680506913975,0.22953485614463454,0.3147191118767346,0.5765757867975805,0.4071815508435227,0.5743755685835463,0.61698,0.41796,False
completa,leaves31_iter100,100,31,1,100000,50000,0.4586561639989668,0.23349348500050837,0.6386548652019834,0.5442277405416883,0.23005256886957956,0.45966757442013334,0.5538583389907219,0.5023862061887412,0.5924566009512694,0.61212,0.42596,False
completa,leaves31_iter100,100,31,2,100000,50000,0.44628053099950193,0.2225427369994577,0.643602771050872,0.5391081610784514,0.22588360122350737,0.34457961877555043,0.5884430986626293,0.4346421471172962,0.5899077505939576,0.636,0.40606,False
completa,leaves31_iter200,200,31,0,100000,50000,0.6898064329980116,0.3453301500012458,0.6326648764935859,0.5365567222040492,0.23004354040867242,0.3166331706383386,0.5694002237328973,0.406962083704911,0.5723431127056032,0.6143,0.41796,False
completa,leaves31_iter200,200,31,1,100000,50000,0.7258457289972284,0.3766562199998589,0.6368767430981087,0.5420951326293949,0.23066307476443865,0.4603249131373838,0.5529298967909312,0.5023956545133106,0.5920710343681483,0.61158,0.42596,False
completa,leaves31_iter200,200,31,2,100000,50000,0.7211318529989512,0.3672685050005384,0.6435387180507861,0.5390733586576626,0.22612192769117864,0.35162291287001923,0.5813044540346878,0.43819052295605204,0.5892370549803172,0.63388,0.40606,False
