id_municipio,nome_municipio,sigla_uf,regiao,avaliacoes,municipios,risco_medio,risco_observado,risco_ponderado,observado_ponderado,soma_pesos,erro_risco_pp,meta_alfabetizacao,taxa_alfabetizacao_prevista_pct,gap_referencia_meta_2024_pp,gap_cenario_80pct_pp
2800308,Aracaju,SE,Nordeste,3664,1,0.6781378858675705,0.5556768558951966,0.6780660403417502,0.5572819421849581,3995.5,12.246102997237395,36.8,32.193395965824976,-4.606604034175021,-47.806604034175024
2804805,Nossa Senhora do Socorro,SE,Nordeste,1785,1,0.6695247913749053,0.7019607843137254,0.6695379267253719,0.7017313444761273,2002.49,-3.2435992938820157,26.93,33.04620732746281,6.11620732746281,-46.95379267253719
2806206,Salgado,SE,Nordeste,175,1,0.6667810776307119,0.5485714285714286,0.6667810776307119,0.5510398475948564,188.97,11.820964905928333,40.63,33.321892236928804,-7.308107763071199,-46.678107763071196
2807501,Tomar do Geru,SE,Nordeste,113,1,0.6667810776307119,0.5929203539823009,0.6667810776307119,0.595666050730724,119.06,7.386072364841101,48.79,33.321892236928804,-15.468107763071195,-46.678107763071196
2805802,Riachão do Dantas,SE,Nordeste,125,1,0.6660647882130779,0.656,0.6660647882130778,0.65361267397098,135.08,1.006478821307788,44.45,33.39352117869222,-11.056478821307785,-46.60647882130778
2803500,Lagarto,SE,Nordeste,757,1,0.6658692768823351,0.6221928665785997,0.6660542446147146,0.6249939110526572,821.16,4.367641030373537,42.31,33.394575538528535,-8.915424461471467,-46.605424461471465
2801702,Cristinápolis,SE,Nordeste,185,1,0.6655283823194484,0.654054054054054,0.6655283823194484,0.6526629695511144,191.14000000000001,1.1474328265394407,31.96,33.44716176805515,1.4871617680551523,-46.55283823194485
2807600,Umbaúba,SE,Nordeste,183,1,0.6655283823194484,0.6065573770491803,0.6655283823194484,0.6065342909449374,213.03,5.897100527026811,32.62,33.44716176805515,0.8271617680551557,-46.55283823194485
2804201,Monte Alegre de Sergipe,SE,Nordeste,169,1,0.6655283823194484,0.6449704142011834,0.6655283823194484,0.6493181818181818,176.0,2.0557968118265046,31.99,33.44716176805515,1.4571617680551547,-46.55283823194485
2805505,Poço Verde,SE,Nordeste,153,1,0.6655283823194484,0.5882352941176471,0.6655283823194484,0.5946928802772884,175.99,7.729308820180137,37.82,33.44716176805515,-4.372838231944847,-46.55283823194485
2804003,Maruim,SE,Nordeste,122,1,0.6655283823194484,0.6885245901639344,0.6655283823194484,0.687812523322636,133.99,-2.299620784448597,28.54,33.44716176805515,4.907161768055154,-46.55283823194485
2804904,Pacatuba,SE,Nordeste,106,1,0.6655283823194484,0.6981132075471698,0.6655283823194484,0.7143220338983052,118.0,-3.2584825227721326,23.74,33.44716176805515,9.707161768055155,-46.55283823194485
2805307,Pirambu,SE,Nordeste,100,1,0.6655283823194484,0.61,0.6655283823194486,0.6234346264996935,114.19,5.552838231944845,33.03,33.447161768055146,0.41716176805514493,-46.552838231944854
2802809,Indiaroba,SE,Nordeste,235,1,0.6652158484258675,0.6553191489361702,0.6652158484258675,0.6570220527275742,241.24,0.9896699489697292,44.78,33.47841515741325,-11.301584842586749,-46.52158484258675
2800506,Areia Branca,SE,Nordeste,147,1,0.6649543679877369,0.54421768707483,0.6649543679877368,0.551784317265451,166.17000000000002,12.07366809129069,34.29,33.504563201226325,-0.7854367987736737,-46.495436798773675
2803401,Japoatã,SE,Nordeste,137,1,0.6649543679877369,0.6058394160583942,0.6649543679877369,0.6071687183200579,138.1,5.911495192934268,33.27,33.50456320122631,0.23456320122630814,-46.49543679877369
2803906,Malhador,SE,Nordeste,128,1,0.6649543679877369,0.625,0.6649543679877369,0.6325855622663216,139.08,3.9954367987736883,41.11,33.50456320122631,-7.605436798773688,-46.49543679877369
2806305,Santa Luzia do Itanhy,SE,Nordeste,123,1,0.6649543679877369,0.7804878048780488,0.6649543679877368,0.7784675953967293,132.08,-11.553343689031193,33.12,33.504563201226325,0.38456320122632803,-46.495436798773675
2800407,Arauá,SE,Nordeste,108,1,0.6649543679877369,0.7129629629629629,0.6649543679877369,0.713953903877077,111.94,-4.800859497522603,38.07,33.50456320122631,-4.565436798773689,-46.49543679877369
2801405,Carira,SE,Nordeste,123,1,0.6632707480173794,0.6504065040650406,0.6632707480173795,0.6546008912516613,127.91,1.286424395233876,40.4,33.67292519826205,-6.727074801737949,-46.32707480173795
2806008,Ribeirópolis,SE,Nordeste,111,1,0.6631085220670012,0.5855855855855856,0.6627390070848737,0.5781867069994118,119.01,7.752293648141562,40.54,33.72609929151263,-6.813900708487367,-46.27390070848737
2803302,Japaratuba,SE,Nordeste,167,1,0.6628226372842487,0.41916167664670656,0.6628226372842487,0.4171597633136095,169.0,24.366096063754217,48.16,33.71773627157513,-14.44226372842487,-46.28226372842487
2801009,Campo do Brito,SE,Nordeste,124,1,0.6624702667062989,0.6451612903225806,0.6623121160152038,0.6505291600990768,133.23,1.730897638371831,45.54,33.76878839847962,-11.771211601520378,-46.23121160152038
2801306,Capela,SE,Nordeste,317,1,0.662151420653821,0.6403785488958991,0.662151420653821,0.6422389086323512,348.92,2.1772871757921974,40.4,33.7848579346179,-6.615142065382102,-46.2151420653821
2805406,Poço Redondo,SE,Nordeste,345,1,0.6611532082886773,0.7333333333333333,0.6611532082886773,0.7339192363057807,395.97,-7.218012504465598,23.75,33.88467917113227,10.13467917113227,-46.11532082886773
2801504,Carmópolis,SE,Nordeste,147,1,0.6602558896895359,0.8367346938775511,0.6602558896895359,0.8383619391749473,166.05,-17.64788041880152,32.07,33.974411031046415,1.9044110310464148,-46.025588968953585
2802700,Ilha das Flores,SE,Nordeste,114,1,0.6601301061215057,0.8421052631578947,0.6601301061215056,0.8372813128967331,129.18,-18.1975157036389,34.17,33.98698938784944,-0.1830106121505608,-46.01301061215056
2804409,Neópolis,SE,Nordeste,200,1,0.6600523116903702,0.69,0.6600445302344748,0.6901387945258662,206.06,-2.9947688309629794,28.33,33.99554697655252,5.66554697655252,-46.00445302344748
2805604,Porto da Folha,SE,Nordeste,228,1,0.6598981994412846,0.8245614035087719,0.659936120137167,0.8314273103005497,249.21,-16.466320406748736,30.74,34.0063879862833,3.266387986283302,-45.9936120137167
2800704,Brejo Grande,SE,Nordeste,139,1,0.6591289960012156,0.6546762589928058,0.6591289960012156,0.6540681306306305,142.08,0.44527370084097573,34.46,34.087100399878445,-0.3728996001215563,-45.912899600121555
2804607,Nossa Senhora das Dores,SE,Nordeste,221,1,0.6590912478015236,0.7194570135746606,0.6588516525479178,0.7164893389736359,234.03,-6.036576577313701,39.64,34.11483474520822,-5.52516525479178,-45.88516525479178
2800670,Boquim,SE,Nordeste,164,1,0.6590207135805058,0.6402439024390244,0.6593869887435022,0.6508257158729358,198.01,1.8776811141481442,29.96,34.06130112564978,4.101301125649776,-45.93869887435022
2806602,Santo Amaro das Brotas,SE,Nordeste,101,1,0.6587525252873259,0.6237623762376238,0.6587525252873259,0.6237623762376238,101.0,3.49901490497021,41.37,34.12474747126741,-7.2452525287325855,-45.87525252873259
2803609,Laranjeiras,SE,Nordeste,215,1,0.6574614196791949,0.7302325581395349,0.6574614196791949,0.7265836269769728,244.06,-7.277113846034,23.05,34.25385803208051,11.203858032080507,-45.74614196791949
2806107,Rosário do Catete,SE,Nordeste,128,1,0.6567701740743186,0.609375,0.6567701740743185,0.6097365155828042,137.01000000000002,4.739517407431859,45.54,34.32298259256815,-11.217017407431847,-45.67701740743185
2807105,Simão Dias,SE,Nordeste,358,1,0.6535758440990618,0.6396648044692738,0.6535211663752569,0.6403038189833749,376.54,1.3911039629788013,40.09,34.64788336247431,-5.442116637525693,-45.35211663752569
2805703,Propriá,SE,Nordeste,193,1,0.6534880993224185,0.6373056994818653,0.6538586575711358,0.6587398099355942,222.03,1.618239984055314,26.71,34.61413424288642,7.904134242886421,-45.38586575711358
2804508,Nossa Senhora da Glória,SE,Nordeste,434,1,0.6530072649992891,0.6221198156682027,0.6531001572709741,0.6242956362206789,457.86,3.0887449331086336,36.66,34.689984272902585,-1.9700157270974117,-45.310015727097415
2806701,São Cristóvão,SE,Nordeste,734,1,0.6529823542205692,0.329700272479564,0.653024035091053,0.32417569164716953,829.18,32.32820817410052,59.87,34.697596490894696,-25.1724035091053,-45.302403509105304
2803203,Itaporanga d'Ajuda,SE,Nordeste,345,1,0.6528408848915371,0.5971014492753624,0.6528408848915372,0.6050790294976341,397.32,5.573943561617478,31.53,34.715911510846276,3.1859115108462746,-45.284088489153724
2802106,Estância,SE,Nordeste,537,1,0.6519053376592856,0.6852886405959032,0.6520562084099326,0.6890354829386062,588.17,-3.338330293661762,40.81,34.79437915900674,-6.0156208409932646,-45.20562084099326
2802908,Itabaiana,SE,Nordeste,776,1,0.6515928041521643,0.5940721649484536,0.6516505289223328,0.5917202645167136,883.12,5.752063920371064,33.84,34.83494710776672,0.9949471077667198,-45.16505289223328
2907202,Casa Nova,BA,Nordeste,430,1,0.6514012010302199,0.7906976744186046,0.6514012010302199,0.7906976744186046,430.0,-13.92964733883847,19.44,34.85987989697801,15.419879896978006,-45.14012010302199
2807402,Tobias Barreto,SE,Nordeste,415,1,0.6496673946599986,0.5349397590361445,0.6496673946599985,0.5373624836845049,429.04,11.472763562385403,47.95,35.033260534000156,-12.916739465999846,-44.966739465999844
2803005,Itabaianinha,SE,Nordeste,469,1,0.6496673946599985,0.4136460554371002,0.6496673946599985,0.4139511201629328,491.0,23.602133922289823,62.52,35.033260534000156,-27.486739465999847,-44.966739465999844
2800605,Barra dos Coqueiros,SE,Nordeste,278,1,0.6483211738849962,0.7194244604316546,0.6484671776852406,0.7191520873831343,324.09,-7.110328654665842,29.32,35.153282231475934,5.833282231475934,-44.846717768524066
2933604,Xique-Xique,BA,Nordeste,524,1,0.6440084123611514,0.6774809160305344,0.6440084123611514,0.6774809160305344,524.0,-3.3472503669383036,38.06,35.599158763884866,-2.4608412361151366,-44.400841236115134
2902708,Barra,BA,Nordeste,474,1,0.6440084123611514,0.7151898734177216,0.6440084123611514,0.7151898734177216,474.0,-7.118146105657019,34.04,35.599158763884866,1.5591587638848665,-44.400841236115134
