sigla_uf,alunos,municipios,nao_alfabetizados,soma_pesos,taxa_nao_alfabetizado_pct,taxa_nao_alfabetizado_ponderada_pct
AL,32789,102,18205,35502.9999802,55.52166885235902,56.11596360338834
AM,48010,62,22428,63055.0000364,46.71526765257238,47.79677673983343
AP,11075,16,6466,12349.000002,58.38374717832957,58.438186783798166
BA,116412,417,72926,137724.0002197,62.644744528055526,63.22268747683755
CE,95549,184,14607,100348.9999975,15.287444138609509,15.536984308352277
ES,44628,78,14117,50481.999989,31.632607331719996,32.06685829013777
GO,72868,245,24047,83738.9435496,33.000768512927486,33.27802635483943
MA,66793,217,28754,74957.9999679,43.04942134654829,43.57087647427392
MG,188236,848,73629,210106.9987756,39.11525956777662,40.19088226703402
MS,37113,79,19386,37113.0,52.235065879880366,52.235065879880366
MT,47696,141,21197,54526.0859216,44.441881918819185,44.93236509810547
PA,84557,144,42936,104971.9999625,50.77758198611588,51.619451931998334
PB,33714,223,16348,38215.0000243,48.49024144272409,48.87792924956866
PE,81148,185,33136,88271.0000628,40.8340316458816,41.04646648675423
PI,33067,224,15484,35414.9999115,46.82614086551547,47.51668064083655
PR,119385,398,31464,138532.0001236,26.35506973237844,26.879508761857856
RJ,129935,92,60584,159996.9996443,46.626390118135994,47.87319180052435
RN,24937,167,15465,31748.0001319,62.01628102819104,62.761532222872425
RO,20116,52,6990,22833.9999952,34.74845893815868,35.396027844000216
RS,98660,488,34830,121147.9998572,35.303061017636324,36.56953536353988
SC,80656,295,30107,102620.999924,37.32766316207102,38.6166763629751
SE,18634,75,12802,19901.11,68.70237200815713,68.96188202567595
TO,16831,139,9474,20059.0000276,56.28899055314598,56.28497926898323
