model,fold,roc_auc_risk,average_precision_risk,brier_risk,recall_risk,precision_risk,f1_risk,balanced_accuracy,accuracy,risk_prevalence,fit_seconds,predict_seconds
dummy_prior,0,0.5,0.41781352433653934,0.24325166938845214,0.0,0.0,0.0,0.5,0.5821864756634606,0.41781352433653934,,
dummy_prior,1,0.5,0.4266761421481928,0.24487329123161009,0.0,0.0,0.0,0.5,0.5733238578518072,0.4266761421481928,,
dummy_prior,2,0.5,0.4039362549482665,0.24110696222145273,0.0,0.0,0.0,0.5,0.5960637450517334,0.4039362549482665,,
rede_uf,0,0.6241078509987747,0.5235250083952034,0.23091811796688447,0.2598030549888436,0.5714585982575431,0.35720808014452293,0.559990988022407,0.6093337645278619,0.41781352433653934,0.6924448939989816,0.13492775700069615
rede_uf,1,0.636066181685684,0.5395748421226609,0.2308083277263178,0.36165902498362495,0.5733134567461731,0.4435296007711463,0.5806717837851879,0.6127895045733838,0.4266761421481928,0.6894638570011011,0.14200641799834557
rede_uf,2,0.6482166360597923,0.5367540403027873,0.22462400571554358,0.3286614445625046,0.5865289635221901,0.42126633917061784,0.5858262277938651,0.6352346521391085,0.4039362549482665,0.7317082289991959,0.13631061900014174
completa,0,0.6288493453584292,0.528544504575954,0.23061611651756478,0.3753231054434607,0.5291862869923135,0.4391681109185442,0.5678396508368528,0.5994841635824281,0.41781352433653934,1.7787997190007445,0.1914681259986537
completa,1,0.6378656709001584,0.5415783528359807,0.2305354924273534,0.41475156732478713,0.5661470274550877,0.4787658341501878,0.5891071086531666,0.6146759505092406,0.4266761421481928,1.8469808469999407,0.18957470299937995
completa,2,0.651378369070953,0.5441870071590129,0.2240445450105087,0.3124712743087301,0.5888812309067879,0.40829413037231244,0.5823194047538667,0.6341646487654038,0.4039362549482665,2.020043970000188,0.1943870289996994
boosting_rede_uf,0,0.6252103675787202,0.5246312222694002,0.23083121179334803,0.261599545143982,0.5704759523214137,0.35870843474529357,0.5601228694355577,0.6091920292892876,0.41781352433653934,2.617670449002617,2.018742874999589
boosting_rede_uf,1,0.6361982501074518,0.5389434633495449,0.23073772861967667,0.42037054365116494,0.5600119668667377,0.48024629659818857,0.5872874507797681,0.61176543392249,0.4266761421481928,2.588915234002343,2.122126562997437
boosting_rede_uf,2,0.6489305154952009,0.5371676810753141,0.22451683199492917,0.3288541846845734,0.5864332989627122,0.42139993793815345,0.5858455686373822,0.6352206782144518,0.4039362549482665,2.6391003919998184,2.0106512480015226
boosting_completa,0,0.636300701735207,0.5394605848371319,0.22879263361778662,0.30339660864704227,0.5722628263475212,0.39655280084930994,0.5703248846271177,0.6142006731425697,0.41781352433653934,3.039832455000578,1.309679447000235
boosting_completa,1,0.642092326801784,0.5473202274018257,0.22927135428229492,0.41704407223729767,0.570099196070531,0.4817061473073275,0.5914998705348438,0.6170834148464294,0.4266761421481928,3.0322501320006268,1.329944480999984
boosting_completa,2,0.6493402491260916,0.5445474020685244,0.22437918153314665,0.3209320714621068,0.5915376206959373,0.4161089307168602,0.5853776195857294,0.6361848790157566,0.4039362549482665,3.073620213999675,1.3034587090005516
