sigla_uf,uf_inedita,avaliacoes,municipios,risco_min,risco_max
AC,True,10234,22,0.35263206975111105,0.4603399568753256
AL,False,31575,102,0.47945516864217397,0.5924852984515714
AM,False,46628,62,0.3781593554032914,0.544714135198222
AP,False,11214,16,0.5158086564511817,0.5900329304167851
BA,False,104069,407,0.5632139311313044,0.6514012010302199
CE,False,88158,184,0.09893359188805417,0.289815978672634
DF,True,22111,1,0.4139224630915844,0.4139224630915844
ES,False,42751,78,0.2345390140857242,0.3607046070691732
GO,False,70799,245,0.2560572210277592,0.4700422875437287
MA,False,62974,217,0.33245194470019424,0.503811598298917
MG,False,180771,852,0.3113460887706223,0.4540044037231604
MS,False,37212,79,0.44011689890252437,0.5654730902589962
MT,False,45083,141,0.3592804944570136,0.5025746048406252
PA,False,83193,144,0.43607599393387586,0.5704887100522449
PB,False,31004,221,0.41194095635562555,0.531399598619141
PE,False,75953,185,0.3215519891338633,0.458961043990746
PI,False,31105,224,0.3976338790266224,0.5310497195318098
PR,False,119806,399,0.2134414007283817,0.3317845489347867
RJ,False,125671,92,0.37916603783436165,0.5989378569713371
RN,False,22848,167,0.5666881600208085,0.6317649227400606
RO,False,20027,52,0.2998982467816924,0.3777096574259363
RS,False,89562,479,0.2575150236739008,0.4995838911799737
SC,False,69035,292,0.31031163053174526,0.40309658148055005
SE,False,17802,75,0.6335426789486269,0.6815397329333566
SP,True,395444,642,0.32325711701024495,0.4926287719414898
TO,False,16799,139,0.5181026508822875,0.606510643837883
